fecha\kwh,,p1,p2,p3,p4,p5,p6
2011-12-01,,1713,8171,2420,553,1277,1036
2012-01-01,,1843,11773,3296,528,1322,1075
2012-02-01,,1785,10844,3367,478,1147,905
2012-03-01,,1594,6210,2430,357,968,791
2012-04-01,,1761,4224,1794,216,719,556
2012-05-01,,1622,4033,1623,215,704,358
2012-06-01,,1707,3879,1575,230,731,549
2012-07-01,,1488,3662,1550,241,768,569
2012-08-01,,1329,3424,1453,258,781,581
2012-09-01,,1465,3579,1278,250,819,619
2012-10-01,,1625,4515,1364,227,733,575
2012-11-01,,1171,6501,1516,300,710,537
