De,Fins,kg
16/12/2008,19/01/2009,9024
20/01/2009,16/02/2009,6075
17/02/2009,16/03/2009,6075
17/03/2009,20/04/2009,7594
21/04/2009,18/05/2009,4227
19/05/2009,15/06/2009,3201
16/06/2009,20/07/2009,3482
21/07/2009,17/08/2009,2619
18/08/2009,14/09/2009,3128
15/09/2009,19/10/2009,4321
20/10/2009,16/11/2009,5934
17/11/2009,14/12/2009,6231
15/12/2009,18/01/2010,9143
19/01/2010,15/02/2010,7949
16/02/2010,15/03/2010,6951
16/03/2010,19/04/2010,4568
20/04/2010,17/05/2010,4184
18/05/2010,14/06/2010,2140
15/06/2010,19/07/2010,1658
20/07/2010,16/08/2010,2927
17/08/2010,20/09/2010,3142
21/09/2010,18/10/2010,4845
19/10/2010,15/11/2010,6896
16/11/2010,20/12/2010,9455
25/12/2010,17/01/2011,9290
18/01/2011,14/02/2011,7456
15/02/2011,14/03/2011,6955
15/03/2011,18/04/2011,4923
19/04/2011,16/05/2011,4179
17/05/2011,20/06/2011,3715
21/06/2011,18/07/2011,3378
19/07/2011,24/08/2011,3195
25/08/2011,19/09/2011,3142
20/09/2011,17/10/2011,3942
18/10/2011,14/11/2011,4019
15/11/2011,28/12/2011,7830
