Date,Time,Period,Unit V,Unit A,Unit W,Unit An,Voltage/Phase 1,Voltage/Phase 2,Voltage/Phase 3,Voltage/Triphasic ~,Maximum voltage/Phase 1,Maximum voltage/Phase 2,Maximum voltage/Phase 3,Maximum voltage/Triphasic ~,Minimum voltage/Phase 1,Minimum voltage/Phase 2,Minimum voltage/Phase 3,Minimum voltage/Triphasic ~,Current/Phase 1,Current/Phase 2,Current/Phase 3,Current/Triphasic ~,Current/In,Maximum current/Phase 1,Maximum current/Phase 2,Maximum current/Phase 3,Maximum current/Triphasic ~,Maximum current/In,Power/Phase 1 +,Power/Phase 2 +,Power/Phase 3 +,Power/Triphasic +,Power L/Phase 1 +,Power L/Phase 2 +,Power L/Phase 3 +,Power L/Triphasic +,Power C/Phase 1 +,Power C/Phase 2 +,Power C/Phase 3 +,Power C/Triphasic +,Power factor/Phase 1 +,Power factor/Phase 2 +,Power factor/Phase 3 +,Power factor/Triphasic +,Frequency/Inst,Aparent power/Phase 1 ~,Aparent power/Phase 2 ~,Aparent power/Phase 3 ~,Aparent power/Triphasic,Energy/Energy III +,Energy/Energy L III +,Energy/Energy C III +,Maximum aparent power/Phase 1 maximum ~,Maximum aparent power/Phase 2 maximum ~,Maximum aparent power/Phase 3 maximum ~,Maximum aparent power/Triphasic maximum
06/28/2011,16:53:03,600.0,V,A,W,A,224,224,224,224,225,226,225,225,222,222,222,222,111.921,115.896,112.701,113.506,0.000,132.342,137.174,133.589,134.368,0.000,19792,19989,19497,59278,15468,16670,16028,48166,0,0,0,0,0.78,0.76,0.77,0.77,50.0,25070.304,25960.704,25245.024,76440,49.248,40.320,0.348,29776.950,31001.324,30057.525,90651
06/28/2011,16:59:59,600.0,V,A,W,A,225,225,224,225,225,225,224,225,225,225,224,225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,50.0,0.000,0.000,0.000,0,49.248,40.320,0.348,0.000,0.000,0.000,0
06/28/2011,17:00:00,600.0,V,A,W,A,225,225,224,225,226,226,226,226,224,224,223,224,109.583,113.402,110.674,111.220,0.000,133.043,137.875,133.978,134.965,0.000,19158,19321,18866,57345,15561,16744,16195,48500,0,0,0,0,0.77,0.75,0.75,0.76,50.0,24656.175,25515.450,24790.976,75066,58.783,48.387,0.348,30067.718,31159.750,30279.028,91171
06/28/2011,17:10:00,600.0,V,A,W,A,225,226,225,225,227,227,227,227,225,225,224,225,62.670,64.307,62.748,63.242,0.000,101.088,104.439,101.711,102.413,0.000,10455,10124,9924,30503,9542,10458,10073,30073,0,0,0,0,0.73,0.69,0.70,0.71,50.0,14100.750,14533.382,14118.300,42860,63.855,53.386,0.348,22946.976,23707.653,23088.397,69214
06/28/2011,17:20:00,600.0,V,A,W,A,226,226,225,226,227,228,227,227,225,226,225,225,66.957,68.750,67.113,67.607,0.000,102.335,103.348,101.945,102.543,0.000,11312,10995,10833,33140,10063,10995,10574,31632,0,0,0,0,0.74,0.70,0.71,0.72,50.0,15132.282,15537.500,15100.425,45900,69.363,58.643,0.348,23230.045,23563.344,23141.515,69550
06/28/2011,17:30:00,600.0,V,A,W,A,226,226,225,226,227,227,227,227,225,225,224,225,107.011,110.830,107.791,108.544,0.000,122.989,127.587,124.002,124.859,0.000,18804,18969,18513,56286,15319,16484,15861,47664,0,0,0,0,0.77,0.75,0.76,0.76,50.0,24184.486,25047.580,24252.975,73691,78.711,66.562,0.348,27918.503,28962.249,28148.454,84763
06/28/2011,17:40:00,600.0,V,A,W,A,226,227,226,226,228,228,227,228,226,226,225,226,100.386,103.971,100.854,101.737,0.000,119.092,124.158,120.105,121.118,0.000,17556,17690,17196,52442,14518,15705,15044,45267,0,0,0,0,0.77,0.74,0.75,0.75,50.0,22687.236,23601.417,22793.004,69196,87.424,74.083,0.348,27152.976,28308.024,27263.835,82515
06/28/2011,17:50:00,600.0,V,A,W,A,227,228,227,227,228,229,228,228,226,226,225,226,82.772,85.032,83.006,83.603,0.000,96.100,99.295,96.957,97.451,0.000,13716,13480,13208,40404,12915,13944,13449,40308,0,0,0,0,0.72,0.69,0.70,0.70,50.0,18789.244,19387.296,18842.362,57103,94.138,80.784,0.348,21910.800,22738.555,22106.196,66390
06/28/2011,18:00:00,600.0,V,A,W,A,228,229,228,228,229,230,229,229,227,228,227,227,96.723,99.841,97.269,97.944,0.000,130.393,135.303,131.250,132.315,0.000,16624,16614,16250,49488,14592,15705,15119,45416,0,0,0,0,0.75,0.72,0.73,0.73,50.0,22052.844,22863.589,22177.332,67171,102.360,88.329,0.348,29859.997,31119.690,30056.250,90800
06/28/2011,18:10:00,600.0,V,A,W,A,227,227,227,227,228,228,228,228,225,226,226,226,113.948,118.234,114.883,115.688,0.000,127.665,132.653,128.834,129.717,0.000,20053,20286,19756,60095,16400,17708,17011,51119,0,0,0,0,0.77,0.75,0.75,0.76,50.0,25866.196,26839.118,26078.441,78855,112.343,96.825,0.348,29107.620,30244.884,29374.152,88404
