Date,Time,Period,Unit V,Unit A,Unit W,Voltage/Phase 1,Voltage/Phase 2,Voltage/Phase 3,Voltage/Phase III,Maximum voltage/Phase 1,Maximum voltage/Phase 2,Maximum voltage/Phase 3,Minimum voltage/Phase 1,Minimum voltage/Phase 2,Minimum voltage/Phase 3,Current/Phase 1,Current/Phase 2,Current/Phase 3,Current/Phase III,Maximum current/Phase 1,Maximum current/Phase 2,Maximum current/Phase 3,Minimum current/Phase 1,Minimum current/Phase 2,Minimum current/Phase 3,Active power/Phase 1 +,Active power/Phase 1 -,Active power/Phase 2 +,Active power/Phase 2 -,Active power/Phase 3 +,Active power/Phase 3 -,Active power/Phase III +,Active power/Phase III -,Reactive power L/Phase 1 +,Reactive power L/Phase 1 -,Reactive power L/Phase 2 +,Reactive power L/Phase 2 -,Reactive power L/Phase 3 +,Reactive power L/Phase 3 -,Reactive power L/Phase III +,Reactive power L/Phase III -,Reactive power C/Phase 1 +,Reactive power C/Phase 1 -,Reactive power C/Phase 2 +,Reactive power C/Phase 2 -,Reactive power C/Phase 3 +,Reactive power C/Phase 3 -,Reactive power C/Phase III +,Reactive power C/Phase III -,Power factor/Phase 1 +,Power factor/Phase 1 -,Power factor/Phase 2 +,Power factor/Phase 2 -,Power factor/Phase 3 +,Power factor/Phase 3 -,Power factor/Phase III +,Power factor/Phase III -,Energy/Active energy +,Energy/Active energy -,Energy/Reactive energy L +,Energy/Reactive energy L-,Energy/Reactive energy C +,Energy/Reactive energy C -,Frequency/Frequency
03/31/2011,13:39:22,600,V,A,W,234,233,234,233,235,234,235,234,233,233,2.639,6.832,7.255,5.575,2.678,6.909,7.333,2.639,6.832,7.217,537,0,1109,0,1453,0,3099,0,309,0,1073,0,872,0,2254,0,0,0,0,0,0,0,0,0,0.87,0.00,0.69,0.00,0.85,0.00,0.79,0.00,2.036813,0.000000,1.545031,0.000000,0.000951,0.000000,50.0
03/31/2011,13:40:00,600,V,A,W,234,233,234,233,236,235,236,233,232,233,6.909,8.152,9.118,8.059,28.219,30.706,34.494,2.600,6.793,5.859,1430,0,1346,0,1708,0,4484,0,628,0,1282,0,1272,0,3182,0,0,0,0,0,0,0,0,0,0.88,0.00,0.71,0.00,0.79,0.00,0.79,0.00,2.787435,0.000000,2.078276,0.000000,0.000951,0.000000,50.0
03/31/2011,13:50:00,600,V,A,W,233,232,233,232,235,234,235,231,230,231,5.473,7.298,9.933,7.568,29.306,29.813,30.265,0.000,6.754,5.781,1121,0,1200,0,1717,0,4038,0,446,0,1136,0,1544,0,3126,0,0,0,0,0,0,0,0,0,0.87,0.00,0.70,0.00,0.74,0.00,0.76,0.00,3.462683,0.000000,2.603189,0.000000,0.001663,0.000000,50.0
03/31/2011,14:00:00,600,V,A,W,232,231,231,231,233,232,232,231,229,230,4.541,8.462,12.145,8.382,33.071,30.434,34.572,0.000,6.715,9.157,902,0,1400,0,2081,0,4383,0,428,0,1300,0,1881,0,3609,0,0,0,0,0,0,0,0,0,0.85,0.00,0.71,0.00,0.74,0.00,0.75,0.00,4.196968,0.000000,3.208319,0.000000,0.001663,0.000000,50.0
03/31/2011,14:10:00,600,V,A,W,232,232,231,231,233,233,233,231,231,231,2.833,7.065,6.635,5.511,15.177,10.326,12.028,0.000,6.754,3.763,619,0,1155,0,1217,0,2991,0,118,0,1100,0,936,0,2154,0,0,0,0,0,0,0,0,0,0.94,0.00,0.70,0.00,0.79,0.00,0.78,0.00,4.698330,0.000000,3.570710,0.000000,0.001663,0.000000,50.0
03/31/2011,14:20:00,600,V,A,W,233,232,232,232,234,233,233,232,230,231,2.678,5.046,6.247,4.657,13.779,7.725,8.963,0.000,3.649,4.345,619,0,900,0,1099,0,2618,0,9,0,582,0,945,0,1536,0,0,0,0,0,0,0,0,0,0.99,0.00,0.76,0.00,0.75,0.00,0.80,0.00,5.136616,0.000000,3.829334,0.000000,0.001663,0.000000,50.0
03/31/2011,14:30:00,600,V,A,W,231,230,230,230,233,232,233,229,229,229,2.678,3.959,9.157,5.264,13.663,6.638,11.019,0.000,3.649,4.889,610,0,745,0,1599,0,2954,0,0,0,281,0,1372,0,1653,0,0,0,0,0,0,0,0,0,0.99,0.00,0.82,0.00,0.75,0.00,0.81,0.00,5.632452,0.000000,4.107934,0.000000,0.002481,0.000000,50.0
03/31/2011,14:40:00,600,V,A,W,230,229,230,229,231,231,231,228,227,228,3.144,5.163,7.100,5.135,14.478,10.597,11.485,0.000,3.610,4.927,610,0,1064,0,1281,0,2955,0,309,0,227,0,1008,0,1544,0,0,0,0,0,0,0,0,0,0.84,0.00,0.89,0.00,0.78,0.00,0.83,0.00,6.126304,0.000000,4.367702,0.000000,0.002481,0.000000,50.0
03/31/2011,14:50:00,600,V,A,W,231,230,230,230,232,231,231,229,229,229,4.541,6.094,4.501,5.045,14.556,9.472,10.204,0.000,3.649,2.289,938,0,1291,0,845,0,3074,0,337,0,263,0,581,0,1181,0,0,0,0,0,0,0,0,0,0.89,0.00,0.92,0.00,0.81,0.00,0.88,0.00,6.640311,0.000000,4.566111,0.000000,0.002481,0.000000,50.0
03/31/2011,15:00:00,600,V,A,W,231,231,230,230,233,232,232,229,228,229,3.105,3.959,6.285,4.449,14.866,7.026,11.019,0.000,3.649,5.277,692,0,754,0,1126,0,2572,0,91,0,281,0,917,0,1289,0,0,0,0,0,0,0,0,0,0.96,0.00,0.82,0.00,0.77,0.00,0.83,0.00,7.071604,0.000000,4.785309,0.000000,0.003325,0.000000,50.0
03/31/2011,15:10:00,600,V,A,W,231,231,231,231,233,232,232,230,230,230,3.454,3.959,8.381,5.264,14.594,7.802,13.425,0.000,3.649,4.966,683,0,754,0,1453,0,2890,0,318,0,281,0,1281,0,1880,0,0,0,0,0,0,0,0,0,0.85,0.00,0.82,0.00,0.75,0.00,0.79,0.00,7.556145,0.000000,5.101911,0.000000,0.003517,0.000000,50.0
03/31/2011,15:20:00,600,V,A,W,233,232,233,232,236,234,235,231,230,231,3.027,3.959,6.635,4.540,13.391,6.250,11.757,0.000,3.649,2.832,656,0,754,0,1208,0,2618,0,109,0,291,0,954,0,1354,0,0,0,0,0,0,0,0,0,0.93,0.00,0.82,0.00,0.78,0.00,0.82,0.00,7.995650,0.000000,5.330438,0.000000,0.004908,0.000000,50.0
03/31/2011,15:30:00,600,V,A,W,233,233,233,233,235,234,234,231,230,230,4.463,3.726,6.130,4.773,15.021,6.987,11.368,0.000,3.610,2.832,938,0,709,0,1108,0,2755,0,309,0,245,0,908,0,1462,0,0,0,0,0,0,0,0,0,0.90,0.00,0.82,0.00,0.77,0.00,0.82,0.00,8.457027,0.000000,5.577950,0.000000,0.005535,0.000000,50.0
03/31/2011,15:40:00,600,V,A,W,233,233,233,233,235,234,234,232,231,232,3.066,3.920,6.479,4.488,14.866,5.007,11.679,0.000,3.649,4.772,674,0,745,0,1154,0,2573,0,109,0,281,0,972,0,1362,0,0,0,0,0,0,0,0,0,0.95,0.00,0.82,0.00,0.76,0.00,0.82,0.00,8.889917,0.000000,5.809195,0.000000,0.006267,0.000000,50.0
03/31/2011,15:50:00,600,V,A,W,232,233,233,232,234,234,234,231,232,232,3.299,3.959,6.557,4.605,14.944,7.375,9.894,0.000,3.649,5.044,665,0,754,0,1172,0,2591,0,282,0,291,0,972,0,1545,0,0,0,0,0,0,0,0,0,0.87,0.00,0.82,0.00,0.76,0.00,0.81,0.00,9.325325,0.000000,6.069880,0.000000,0.006267,0.000000,50.0
03/31/2011,16:00:00,600,V,A,W,233,233,233,233,235,234,234,231,231,231,3.299,8.850,8.691,6.946,14.982,13.159,12.455,0.000,3.687,5.626,729,0,1391,0,1535,0,3655,0,127,0,1437,0,1317,0,2881,0,0,0,0,0,0,0,0,0,0.95,0.00,0.67,0.00,0.76,0.00,0.75,0.00,9.937730,0.000000,6.554052,0.000000,0.007036,0.000000,50.0
03/31/2011,16:10:00,600,V,A,W,233,232,232,232,235,234,234,230,230,230,4.192,9.860,8.264,7.438,14.711,12.810,14.123,0.000,9.433,5.238,874,0,1437,0,1508,0,3819,0,273,0,1746,0,1208,0,3227,0,0,0,0,0,0,0,0,0,0.89,0.00,0.62,0.00,0.78,0.00,0.73,0.00,10.575791,0.000000,7.096284,0.000000,0.007782,0.000000,50.0
03/31/2011,16:20:00,600,V,A,W,233,232,233,232,235,234,234,232,231,231,2.445,10.248,7.682,6.791,13.818,13.470,12.261,0.000,9.666,5.703,492,0,1509,0,1472,0,3473,0,191,0,1791,0,1017,0,2999,0,0,0,0,0,0,0,0,0,0.87,0.00,0.63,0.00,0.82,0.00,0.73,0.00,11.157878,0.000000,7.598894,0.000000,0.007782,0.000000,50.0
03/31/2011,16:30:00,600,V,A,W,232,231,230,231,234,233,232,230,229,228,4.619,10.287,10.243,8.383,15.293,13.276,18.663,0.000,9.743,7.799,947,0,1500,0,1899,0,4346,0,355,0,1782,0,1417,0,3554,0,0,0,0,0,0,0,0,0,0.88,0.00,0.63,0.00,0.80,0.00,0.74,0.00,11.884956,0.000000,8.194435,0.000000,0.007782,0.000000,50.0
03/31/2011,16:40:00,600,V,A,W,233,232,230,231,234,233,232,231,231,230,3.609,11.257,13.503,9.456,15.177,14.052,15.093,0.000,10.869,11.136,783,0,1664,0,2362,0,4809,0,182,0,1964,0,2053,0,4199,0,0,0,0,0,0,0,0,0,0.93,0.00,0.63,0.00,0.75,0.00,0.73,0.00,12.688907,0.000000,8.896815,0.000000,0.007782,0.000000,50.0
03/31/2011,16:50:00,600,V,A,W,233,231,232,232,234,233,233,231,231,230,4.463,11.218,10.204,8.628,16.031,14.130,14.705,0.000,10.830,6.984,893,0,1655,0,1817,0,4365,0,419,0,1955,0,1526,0,3900,0,0,0,0,0,0,0,0,0,0.86,0.00,0.63,0.00,0.77,0.00,0.72,0.00,13.420508,0.000000,9.549047,0.000000,0.007790,0.000000,50.0
03/31/2011,17:00:00,600,V,A,W,233,232,231,232,235,233,233,231,230,229,7.336,12.732,25.182,15.083,37.263,33.540,36.318,2.717,10.869,6.945,1594,0,1982,0,5634,0,9210,0,464,0,2101,0,1217,0,3782,0,0,0,0,0,0,0,0,0,0.93,0.00,0.67,0.00,0.96,0.00,0.87,0.00,14.958100,0.000000,10.183383,0.000000,0.007790,0.000000,50.0
03/31/2011,17:10:00,600,V,A,W,233,231,231,231,234,233,233,231,231,229,8.461,16.537,27.859,17.619,18.515,23.253,36.978,4.386,10.869,20.720,1831,0,3174,0,6143,0,11148,0,637,0,1919,0,1917,0,4473,0,0,0,0,0,0,0,0,0,0.92,0.00,0.82,0.00,0.95,0.00,0.91,0.00,16.819867,0.000000,10.931688,0.000000,0.007790,0.000000,50.0
03/31/2011,17:20:00,600,V,A,W,233,232,232,232,234,233,233,232,231,230,7.607,11.723,21.147,13.492,18.825,23.097,34.611,4.269,10.869,18.508,1658,0,1709,0,4580,0,7947,0,519,0,2064,0,1790,0,4373,0,0,0,0,0,0,0,0,0,0.93,0.00,0.63,0.00,0.93,0.00,0.84,0.00,18.148696,0.000000,11.664016,0.000000,0.007790,0.000000,50.0
03/31/2011,17:30:00,600,V,A,W,233,232,233,232,234,233,234,231,231,231,6.870,11.762,7.643,8.758,18.748,21.855,19.245,4.347,10.869,4.733,1494,0,1837,0,1426,0,4757,0,492,0,1919,0,1045,0,3456,0,0,0,0,0,0,0,0,0,0.93,0.00,0.67,0.00,0.80,0.00,0.78,0.00,18.945145,0.000000,12.243133,0.000000,0.007790,0.000000,50.0
03/31/2011,17:40:00,600,V,A,W,232,231,232,231,235,233,234,229,229,230,11.334,13.159,9.312,11.268,41.099,44.953,35.193,4.347,10.869,4.656,2424,0,2101,0,1717,0,6242,0,893,0,2101,0,1281,0,4275,0,0,0,0,0,0,0,0,0,0.91,0.00,0.68,0.00,0.79,0.00,0.79,0.00,19.987677,0.000000,12.959907,0.000000,0.007790,0.000000,50.0
03/31/2011,17:50:00,600,V,A,W,234,233,233,233,236,234,235,233,232,233,7.491,13.004,16.102,12.199,19.175,14.829,22.543,4.735,11.024,8.187,1640,0,2264,0,3462,0,7366,0,555,0,1928,0,1381,0,3864,0,0,0,0,0,0,0,0,0,0.93,0.00,0.74,0.00,0.92,0.00,0.86,0.00,21.218299,0.000000,13.606774,0.000000,0.007790,0.000000,50.0
