envolvente,e,mat
Fachada Exterior 1,30,Dos Placas de pladur 15mm cada una
Fachada Exterior 1,75,Lana Mineral ALPHAROCK‐E 225 de 75 mm
Fachada Exterior 1,10,Cámara de aire 10mm sin ventilar
Fachada Exterior 1,200,Bloque de hormigón convencional de 200mm
Fachada Exterior 1,10,Cámara de aire 10mm sin ventilar
Fachada Exterior 1,40,Lana Mineral ALPHAROCK‐E 225 de 40 mm
Fachada Exterior 1,15,Dos Placas de pladur 15mm cada una
Fachada Exterior 2,30,Dos Placas de pladur 15mm cada una
Fachada Exterior 2,50,Lana Mineral ALPHAROCK‐E 225 de 50 mm
Fachada Exterior 2,10,Cámara de aire 10mm
Fachada Exterior 2,135,1/2 pie de Ladrillo perforado 60m<G<80 ‐ 135mm
Fachada Exterior 2,60,Lana Mineral ALPHAROCK‐E 225 ‐ 60 mm
Fachada Exterior 2,90,Tabique de LH sencillo [40mm<e<60mm] ‐ 90mm
Fachada Exterior 2,15,Enlucido de yeso de 15mm
Forjado General,25,Gres de 25mm
Forjado General,15,Arena 15mm
Forjado General,65,Mortero de áridos ligeros 65mm
Forjado General,270,Forjado de hormigo armado d= 2400 de 270mm
Forjado Salas,25,Gres de 25mm
Forjado Salas,15,Arena 15mm
Forjado Salas,65,Mortero de áridos ligeros 65mm
Forjado Salas,40,Aislamiento ISOVER Panel Solado L
Forjado Salas,270,Forjado de hormigo armado d= 2400 de 270mm
Cubierta,100,Arena y grava ‐ 100mm
Cubierta,1,Lamina geotextil (polipropileno) ‐ 1mm
Cubierta,80,Poliestireno Extruido 80mm
Cubierta,1,Lamina impermeabilizante de EPDM ‐ 1mm
Cubierta,1,Lamina geotextil (polipropileno) ‐ 1mm
Cubierta,50,Mortero de cemento o cal para albañileria 1000<d<1250 ‐ 50mm
Cubierta,270,Forjado de hormigo armado d= 2400 de 270mm
