mes,ano,p1,p2,p3,p4,p5,p6
1,2009,866,1360,598,,,
2,2009,878,1195,479,,,
3,2009,1121,1704,769,,,
4,2009,423,2229,826,,,
5,2009,780,4044,1373,,,
6,2009,816,3710,1471,,,
7,2009,792,3597,1426,,,
8,2009,809,2109,1455,,,
9,2009,540,2288,866,158,567,305
10,2009,493,1931,704,235,834,350
11,2009,950,1313,571,276,474,264
12,2009,949,1438,572,364,609,288
1,2010,917,1413,531,318,526,322
2,2010,1002,1299,482,241,393,196
3,2010,944,1392,621,267,449,210
4,2010,288,1630,569,111,473,210
5,2010,380,2061,659,185,870,336
6,2010,480,2310,897,195,757,319
7,2010,480,2310,897,195,757,319
8,2010,562,1370,969,269,796,525
9,2010,523,2159,907,166,709,323
10,2010,390,1936,738,214,825,401
11,2010,1014,1533,642,317,522,255
12,2010,1066,1760,647,561,844,404
