Date,Time,Period,Unit V,Unit A,Unit W,Voltage/Phase 1,Voltage/Phase 2,Voltage/Phase 3,Voltage/Phase III,Maximum voltage/Phase 1,Maximum voltage/Phase 2,Maximum voltage/Phase 3,Minimum voltage/Phase 1,Minimum voltage/Phase 2,Minimum voltage/Phase 3,Current/Phase 1,Current/Phase 2,Current/Phase 3,Current/Phase III,Maximum current/Phase 1,Maximum current/Phase 2,Maximum current/Phase 3,Minimum current/Phase 1,Minimum current/Phase 2,Minimum current/Phase 3,Active power/Phase 1 +,Active power/Phase 1 -,Active power/Phase 2 +,Active power/Phase 2 -,Active power/Phase 3 +,Active power/Phase 3 -,Active power/Phase III +,Active power/Phase III -,Reactive power L/Phase 1 +,Reactive power L/Phase 1 -,Reactive power L/Phase 2 +,Reactive power L/Phase 2 -,Reactive power L/Phase 3 +,Reactive power L/Phase 3 -,Reactive power L/Phase III +,Reactive power L/Phase III -,Reactive power C/Phase 1 +,Reactive power C/Phase 1 -,Reactive power C/Phase 2 +,Reactive power C/Phase 2 -,Reactive power C/Phase 3 +,Reactive power C/Phase 3 -,Reactive power C/Phase III +,Reactive power C/Phase III -,Power factor/Phase 1 +,Power factor/Phase 1 -,Power factor/Phase 2 +,Power factor/Phase 2 -,Power factor/Phase 3 +,Power factor/Phase 3 -,Power factor/Phase III +,Power factor/Phase III -,Energy/Active energy +,Energy/Active energy -,Energy/Reactive energy L +,Energy/Reactive energy L-,Energy/Reactive energy C +,Energy/Reactive energy C -,Frequency/Frequency
06/28/2011,16:53:04,600,V,A,kW,224,224,224,224,225,225,225,222,222,222,151,144,151,148,181,170,179,136,128,135,34,0,32,0,34,0,100,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,187136.956,0.000,45881.133,0.000,186.767,0.000,50.0
06/28/2011,17:00:00,600,V,A,kW,225,224,224,224,226,226,226,224,224,223,153,149,157,153,190,183,194,129,123,133,34,0,33,0,35,0,102,0,3,0,3,0,2,0,8,0,0,0,0,0,0,0,0,0,0.99,0.00,0.99,0.00,1.00,0.00,0.99,0.00,187154.235,0.000,45882.793,0.000,186.767,0.000,50.0
06/28/2011,17:10:00,600,V,A,kW,225,226,225,225,227,227,227,225,225,224,108,103,111,107,160,153,163,78,75,83,24,0,23,0,25,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,187166.464,0.000,45882.934,0.000,187.389,0.000,50.0
06/28/2011,17:20:00,600,V,A,kW,226,226,226,226,227,227,227,225,225,225,113,107,116,112,158,155,162,79,72,83,25,0,24,0,26,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0.00,-0.99,0.00,1.00,0.00,0.99,0.00,187179.218,0.000,45883.364,0.000,187.885,0.000,50.0
06/28/2011,17:30:00,600,V,A,kW,226,226,226,226,227,227,227,225,225,225,142,137,147,142,169,162,173,116,114,122,32,0,31,0,33,0,96,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,187195.435,0.000,45884.080,0.000,187.950,0.000,50.0
06/28/2011,17:40:00,600,V,A,kW,226,227,226,226,228,227,227,226,226,226,134,130,138,134,171,164,169,108,102,113,30,0,29,0,31,0,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,187210.779,0.000,45884.634,0.000,188.148,0.000,50.0
06/28/2011,17:50:00,600,V,A,kW,227,227,227,227,228,229,228,226,227,226,117,110,118,115,144,140,144,89,83,93,26,0,25,0,27,0,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,187223.971,0.000,45885.178,0.000,188.394,0.000,50.0
06/28/2011,18:00:00,600,V,A,kW,228,228,228,228,229,229,229,227,227,227,135,129,138,134,206,195,205,88,81,91,30,0,29,0,31,0,90,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1.00,0.00,0.99,0.00,1.00,0.00,0.99,0.00,187239.372,0.000,45886.444,0.000,188.546,0.000,50.0
06/28/2011,18:10:00,600,V,A,kW,227,227,226,226,228,228,228,225,226,226,157,147,158,154,205,192,205,125,117,128,35,0,33,0,36,0,104,0,4,0,3,0,2,0,9,0,0,0,0,0,0,0,0,0,0.99,0.00,1.00,0.00,1.00,0.00,0.99,0.00,187256.935,0.000,45888.271,0.000,188.553,0.000,50.0
06/28/2011,18:20:00,600,V,A,kW,228,228,228,228,229,230,229,227,227,226,127,120,130,125,177,176,180,91,82,93,28,0,27,0,29,0,84,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,187271.348,0.000,45889.315,0.000,188.822,0.000,50.0
