Date,Time,Period,Unit V,Unit A,Unit W,Unit An,Voltage/Phase 1,Voltage/Phase 2,Voltage/Phase 3,Voltage/Triphasic ~,Maximum voltage/Phase 1,Maximum voltage/Phase 2,Maximum voltage/Phase 3,Maximum voltage/Triphasic ~,Minimum voltage/Phase 1,Minimum voltage/Phase 2,Minimum voltage/Phase 3,Minimum voltage/Triphasic ~,Current/Phase 1,Current/Phase 2,Current/Phase 3,Current/Triphasic ~,Current/In,Maximum current/Phase 1,Maximum current/Phase 2,Maximum current/Phase 3,Maximum current/Triphasic ~,Maximum current/In,Power/Phase 1 +,Power/Phase 2 +,Power/Phase 3 +,Power/Triphasic +,Power L/Phase 1 +,Power L/Phase 2 +,Power L/Phase 3 +,Power L/Triphasic +,Power C/Phase 1 +,Power C/Phase 2 +,Power C/Phase 3 +,Power C/Triphasic +,Power factor/Phase 1 +,Power factor/Phase 2 +,Power factor/Phase 3 +,Power factor/Triphasic +,Frequency/Inst,Aparent power/Phase 1 ~,Aparent power/Phase 2 ~,Aparent power/Phase 3 ~,Aparent power/Triphasic,Energy/Energy III +,Energy/Energy L III +,Energy/Energy C III +,Maximum aparent power/Phase 1 maximum ~,Maximum aparent power/Phase 2 maximum ~,Maximum aparent power/Phase 3 maximum ~,Maximum aparent power/Triphasic maximum
06/28/2011,16:55:31,600.0,V,A,W,A,225,225,225,225,225,225,225,225,224,224,224,224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,49.8,0.000,0.000,0.000,0,3893.645,455.551,8.329,0.000,0.000,0.000,0
06/28/2011,17:00:00,600.0,V,A,W,A,225,224,224,224,226,226,225,226,223,223,223,223,6.006,5.850,6.320,6.059,0.000,13.026,13.104,12.485,12.872,0.000,633,629,742,2004,1098,1073,1113,3284,0,0,0,0,0.48,0.47,0.52,0.49,50.0,1351.350,1310.400,1415.680,4087,3893.982,456.104,8.329,2943.876,2961.504,2809.125,8684
06/28/2011,17:10:00,600.0,V,A,W,A,225,225,225,225,227,227,226,227,224,224,224,224,7.176,6.942,7.335,7.151,0.000,19.579,18.720,20.133,19.477,0.000,800,777,853,2430,1266,1240,1298,3804,0,0,0,0,0.50,0.50,0.52,0.51,50.0,1614.600,1561.950,1650.375,4842,3894.393,456.738,8.329,4444.433,4249.440,4550.058,13169
06/28/2011,17:20:00,600.0,V,A,W,A,226,226,225,226,227,227,227,227,225,225,225,225,7.722,7.566,7.959,7.749,0.000,14.430,15.756,15.763,15.316,0.000,894,869,964,2727,1359,1332,1391,4082,0,0,0,0,0.51,0.50,0.54,0.52,50.0,1745.172,1709.916,1790.775,5258,3894.848,457.421,8.329,3275.610,3576.612,3578.201,10381
06/28/2011,17:30:00,600.0,V,A,W,A,226,226,225,226,227,227,226,227,225,225,224,225,7.644,7.410,7.881,7.645,0.000,18.876,17.862,19.899,18.879,0.000,856,832,946,2634,1359,1332,1373,4064,0,0,0,0,0.50,0.50,0.53,0.51,50.0,1727.544,1674.660,1773.225,5185,3895.291,458.102,8.329,4284.852,4054.674,4497.174,12813
06/28/2011,17:40:00,600.0,V,A,W,A,226,226,226,226,228,228,227,228,226,226,225,226,4.602,4.368,4.526,4.499,0.000,16.302,15.600,15.060,15.654,0.000,633,610,593,1836,577,555,593,1725,0,0,0,0,0.60,0.63,0.59,0.61,50.0,1040.052,987.168,1022.876,3058,3895.601,458.395,8.330,3716.856,3556.800,3418.620,10622
06/28/2011,17:50:00,600.0,V,A,W,A,227,227,227,227,229,229,228,229,226,226,225,226,4.758,4.602,4.682,4.681,0.000,7.254,7.098,7.179,7.177,0.000,633,629,575,1837,707,666,723,2096,0,0,0,0,0.59,0.60,0.54,0.58,50.0,1080.066,1044.654,1062.814,3193,3895.910,458.749,8.330,1661.166,1625.442,1636.812,4883
06/28/2011,18:00:00,600.0,V,A,W,A,228,228,228,228,229,229,229,229,227,227,226,227,7.332,7.098,7.491,7.307,0.000,15.600,14.976,16.543,15.706,0.000,763,740,816,2319,1378,1351,1391,4120,0,0,0,0,0.45,0.46,0.48,0.46,50.0,1671.696,1618.344,1707.948,5010,3896.300,459.440,8.330,3572.400,3429.504,3788.347,10774
06/28/2011,18:10:00,600.0,V,A,W,A,227,227,226,227,228,228,228,228,225,226,225,225,8.424,8.190,8.661,8.425,0.000,10.608,10.374,10.690,10.557,0.000,838,814,946,2598,1620,1591,1632,4843,0,0,0,0,0.44,0.43,0.48,0.45,50.0,1912.248,1859.130,1957.386,5735,3896.734,460.248,8.330,2418.624,2365.272,2437.320,7198
06/28/2011,18:20:00,600.0,V,A,W,A,228,228,228,228,229,230,229,229,227,227,226,227,8.502,8.268,8.740,8.503,0.000,11.310,10.920,11.549,11.260,0.000,838,814,946,2598,1657,1628,1670,4955,0,0,0,0,0.43,0.43,0.47,0.44,50.0,1938.456,1885.104,1992.720,5819,3897.167,461.073,8.330,2589.990,2511.600,2644.721,7731
06/28/2011,18:30:00,600.0,V,A,W,A,228,228,228,228,229,230,229,229,227,228,227,227,8.424,8.268,8.661,8.451,0.000,10.686,10.452,11.237,10.792,0.000,819,795,927,2541,1657,1628,1670,4955,0,0,0,0,0.42,0.42,0.47,0.44,50.0,1920.672,1885.104,1974.708,5795,3897.595,461.904,8.330,2447.094,2403.960,2573.273,7428
06/28/2011,18:40:00,600.0,V,A,W,A,228,228,228,228,229,229,229,229,227,227,227,227,6.942,6.786,7.257,6.995,0.000,10.452,10.296,10.768,10.505,0.000,558,555,686,1799,1434,1406,1428,4268,0,0,0,0,0.35,0.36,0.42,0.38,50.0,1582.776,1547.208,1654.596,4788,3897.899,462.617,8.330,2393.508,2357.784,2465.872,7177
06/28/2011,18:50:00,600.0,V,A,W,A,228,228,228,228,230,230,229,230,227,227,227,227,4.134,4.056,4.526,4.239,0.000,4.446,4.524,5.072,4.681,0.000,204,240,352,796,931,925,927,2783,0,0,0,0,0.23,0.27,0.35,0.29,50.0,942.552,924.768,1031.928,2907,3898.040,463.083,8.330,1022.580,1040.520,1161.488,3215
06/28/2011,19:00:00,600.0,V,A,W,A,228,229,228,228,229,230,229,229,227,228,227,227,2.418,2.418,2.653,2.496,0.000,12.558,13.104,12.407,12.690,0.000,130,148,222,500,540,536,556,1632,0,0,0,0,0.24,0.28,0.37,0.30,50.0,551.304,553.722,604.884,1713,3898.127,463.360,8.330,2875.782,3013.920,2841.203,8716
06/28/2011,19:10:00,600.0,V,A,W,A,229,229,229,229,230,230,230,230,228,228,228,228,5.382,5.304,5.540,5.409,0.000,8.424,8.424,8.583,8.477,0.000,558,610,705,1873,987,962,946,2895,0,0,0,0,0.46,0.50,0.56,0.51,50.0,1232.478,1214.616,1268.660,3723,3898.443,463.844,8.330,1937.520,1937.520,1974.090,5839
06/28/2011,19:20:00,600.0,V,A,W,A,229,229,229,229,231,231,231,231,227,228,228,228,6.084,6.006,6.242,6.111,0.000,10.764,11.700,11.783,11.416,0.000,726,777,890,2393,1024,1017,983,3024,0,0,0,0,0.53,0.56,0.62,0.57,50.0,1393.236,1375.374,1429.418,4208,3898.846,464.352,8.330,2486.484,2702.700,2721.873,7814
06/28/2011,19:30:00,600.0,V,A,W,A,229,229,229,229,230,231,230,230,228,228,228,228,8.346,8.190,8.427,8.321,0.000,10.296,10.218,10.456,10.323,0.000,745,758,890,2393,1713,1684,1688,5085,0,0,0,0,0.38,0.41,0.46,0.42,50.0,1911.234,1875.510,1929.783,5727,3899.246,465.201,8.330,2368.080,2360.358,2404.880,7129
