Date,Time,Period,Unit V,Unit A,Unit W,Voltage/Phase 1,Voltage/Phase 2,Voltage/Phase 3,Voltage/Phase III,Maximum voltage/Phase 1,Maximum voltage/Phase 2,Maximum voltage/Phase 3,Minimum voltage/Phase 1,Minimum voltage/Phase 2,Minimum voltage/Phase 3,Current/Phase 1,Current/Phase 2,Current/Phase 3,Current/Phase III,Maximum current/Phase 1,Maximum current/Phase 2,Maximum current/Phase 3,Minimum current/Phase 1,Minimum current/Phase 2,Minimum current/Phase 3,Active power/Phase 1 +,Active power/Phase 1 -,Active power/Phase 2 +,Active power/Phase 2 -,Active power/Phase 3 +,Active power/Phase 3 -,Active power/Phase III +,Active power/Phase III -,Reactive power L/Phase 1 +,Reactive power L/Phase 1 -,Reactive power L/Phase 2 +,Reactive power L/Phase 2 -,Reactive power L/Phase 3 +,Reactive power L/Phase 3 -,Reactive power L/Phase III +,Reactive power L/Phase III -,Reactive power C/Phase 1 +,Reactive power C/Phase 1 -,Reactive power C/Phase 2 +,Reactive power C/Phase 2 -,Reactive power C/Phase 3 +,Reactive power C/Phase 3 -,Reactive power C/Phase III +,Reactive power C/Phase III -,Power factor/Phase 1 +,Power factor/Phase 1 -,Power factor/Phase 2 +,Power factor/Phase 2 -,Power factor/Phase 3 +,Power factor/Phase 3 -,Power factor/Phase III +,Power factor/Phase III -,Energy/Active energy +,Energy/Active energy -,Energy/Reactive energy L +,Energy/Reactive energy L-,Energy/Reactive energy C +,Energy/Reactive energy C -,Frequency/Frequency
04/29/2011,12:57:23,300,V,A,W,235,233,233,233,235,234,234,233,232,232,1.513,5.007,6.402,4.307,3.105,5.085,6.557,0.000,4.968,6.363,255,0,945,0,1217,0,2417,0,246,0,618,0,854,0,1718,0,0,0,0,0,0,0,0,0,0.73,0.00,0.81,0.00,0.81,0.00,0.80,0.00,916.728997,0.000000,544.702370,0.000000,0.074602,0.000000,50.0
04/29/2011,13:00:00,300,V,A,W,234,233,233,233,235,235,234,233,231,231,3.765,5.046,4.811,4.540,13.818,9.355,6.441,0.000,4.968,4.229,847,0,964,0,954,0,2765,0,127,0,627,0,572,0,1326,0,0,0,0,0,0,0,0,0,0.96,0.00,0.82,0.00,0.85,0.00,0.87,0.00,916.961232,0.000000,544.814801,0.000000,0.074602,0.000000,49.9
04/29/2011,13:05:00,300,V,A,W,236,235,235,235,238,237,237,234,234,233,4.774,6.172,4.035,4.993,14.361,6.327,14.783,1.591,6.133,3.259,1020,0,1173,0,808,0,3001,0,337,0,818,0,454,0,1609,0,0,0,0,0,0,0,0,0,0.91,0.00,0.81,0.00,0.85,0.00,0.85,0.00,917.212455,0.000000,544.949725,0.000000,0.074602,0.000000,50.0
04/29/2011,13:10:00,300,V,A,W,235,235,234,234,236,235,235,234,233,233,6.055,5.590,10.360,7.335,15.836,6.288,10.670,3.765,5.007,8.187,1221,0,1064,0,1762,0,4047,0,619,0,727,0,1672,0,3018,0,0,0,0,0,0,0,0,0,0.85,0.00,0.81,0.00,0.72,0.00,0.78,0.00,917.550934,0.000000,545.202373,0.000000,0.074602,0.000000,50.0
04/29/2011,13:15:00,300,V,A,W,235,235,234,234,236,235,235,234,234,233,4.308,5.007,8.109,5.808,14.400,5.163,8.381,0.000,4.968,8.070,911,0,955,0,1390,0,3256,0,282,0,636,0,1281,0,2199,0,0,0,0,0,0,0,0,0,0.90,0.00,0.81,0.00,0.73,0.00,0.80,0.00,917.824292,0.000000,545.387172,0.000000,0.074602,0.000000,50.0
04/29/2011,13:20:00,300,V,A,W,235,234,234,234,236,235,235,233,232,233,2.639,5.007,8.614,5.420,13.934,5.124,12.610,0.000,4.968,6.285,619,0,955,0,1508,0,3082,0,0,0,627,0,1335,0,1962,0,0,0,0,0,0,0,0,0,1.00,0.00,0.81,0.00,0.75,0.00,0.81,0.00,918.082727,0.000000,545.552218,0.000000,0.074603,0.000000,50.0
04/29/2011,13:25:00,300,V,A,W,235,235,235,235,236,236,236,234,234,234,4.580,5.395,7.721,5.898,15.293,9.899,8.691,0.000,4.968,6.247,966,0,1027,0,1372,0,3365,0,355,0,691,0,1181,0,2227,0,0,0,0,0,0,0,0,0,0.90,0.00,0.81,0.00,0.75,0.00,0.81,0.00,918.364716,0.000000,545.739539,0.000000,0.074603,0.000000,50.0
04/29/2011,13:30:00,300,V,A,W,235,234,235,234,236,235,236,234,233,234,3.765,6.172,4.345,4.760,15.293,6.288,6.518,3.066,6.094,3.259,701,0,1164,0,863,0,2728,0,483,0,809,0,508,0,1800,0,0,0,0,0,0,0,0,0,0.79,0.00,0.81,0.00,0.84,0.00,0.81,0.00,918.593835,0.000000,545.891426,0.000000,0.074603,0.000000,50.0
04/29/2011,13:35:00,300,V,A,W,236,235,235,235,237,236,236,234,233,233,1.785,6.599,4.656,4.346,13.779,11.995,11.174,0.000,4.968,3.142,419,0,1164,0,908,0,2491,0,0,0,973,0,590,0,1563,0,0,0,0,0,0,0,0,0,1.00,0.00,0.75,0.00,0.83,0.00,0.81,0.00,918.802854,0.000000,546.022517,0.000000,0.074603,0.000000,50.0
04/29/2011,13:40:00,300,V,A,W,236,235,235,235,237,236,236,234,234,234,3.066,5.085,6.285,4.812,13.857,8.307,8.226,0.000,4.968,3.104,701,0,964,0,1135,0,2800,0,72,0,654,0,936,0,1662,0,0,0,0,0,0,0,0,0,0.96,0.00,0.80,0.00,0.77,0.00,0.82,0.00,919.037278,0.000000,546.162140,0.000000,0.074603,0.000000,50.0
