uso,lim
Administrativo en general,3
Andenes de estaciones de transporte,3
Pabellones de exposición o ferias,3
Salas de diagnóstico,3.5
Aulas y laboratorios,3.5
Habitaciones de hospita,4
Recintos interiores no descritos en este listado,4
Zonas comunes,4
Almacenes  archivos  salas técnicas y cocinas,4
Aparcamientos,4
Espacios deportivos,4
Estaciones de transporte,5
Supermercados  hipermercados y grandes almacenes,5
Bibliotecas  museos y galerías de arte,5
Zonas comunes en edificios no residenciales,6
Centros comerciales (excluidas tiendas),6
Hostelería y restauración,8
Religioso en general,8
Salones de actos  auditorios y salas de usos,8
Múltiples y convenciones  salas de ocio o espectáculo,8
salas de reuniones y salas de conferencias,8
Tiendas y pequeño comercio,8
Habitaciones de hoteles  hostales  etc.,10
Locales con nivel de iluminación superior a 600lux,2.5
